nodes,NR,NW,clients,read_s,write_s
9,9,6,5,0.17,1.65
9,9,6,6,0.2,1.91
9,9,6,7,0.31,2.25
9,9,6,8,0.27,2.68
9,9,6,9,0.31,2.81
9,9,6,10,0.31,2.98
9,9,7,3,0.11,1.14
9,9,7,4,0.17,1.55
9,9,7,5,0.19,1.98
9,9,7,6,0.2,2.16
9,9,7,7,0.19,2.9
9,9,7,8,0.15,3.1
9,9,7,9,0.21,3.59
9,9,7,10,0.25,3.82
9,9,8,3,0.12,1.37
9,9,8,4,0.18,2.06
9,9,8,5,0.13,2.17
9,9,8,6,0.2,2.73
9,9,8,7,0.13,3.12
9,9,8,8,0.15,3.58
9,9,8,9,0.17,4.12
9,9,8,10,0.2,4.6
9,9,9,3,0.12,1.57
9,9,9,4,0.13,2.3
9,9,9,5,0.12,2.45
9,9,9,6,0.14,3.3
9,9,9,7,0.15,3.82
9,9,9,8,0.16,4.06
9,9,9,9,0.16,4.41
9,9,9,10,0.16,5.01
10,1,10,3,0.1,1.7
10,1,10,4,0.11,2.21
10,1,10,5,0.11,2.83
10,1,10,6,0.12,3.3
10,1,10,7,0.12,3.81
10,1,10,8,0.13,4.41
10,1,10,9,0.13,5.1
10,1,10,10,0.14,5.35
10,2,9,3,0.1,1.51
10,2,9,4,0.17,2.05
10,2,9,5,0.11,2.47
10,2,9,6,0.12,3.14
10,2,9,7,0.17,3.49
10,2,9,8,0.14,3.79
10,2,9,9,0.18,4.51
10,2,9,10,0.18,4.86
10,2,10,3,0.1,1.72
10,2,10,4,0.11,2.3
10,2,10,5,0.12,2.95
10,2,10,6,0.12,3.31
10,2,10,7,0.13,3.79
10,2,10,8,0.13,4.28
10,2,10,9,0.14,4.86
10,2,10,10,0.14,5.5
10,3,8,3,0.1,1.33
10,3,8,4,0.11,1.75
10,3,8,5,0.17,2.28
10,3,8,6,0.18,2.7
10,3,8,7,0.13,2.97
10,3,8,8,0.24,3.51
10,3,8,9,0.26,4.02
10,3,8,10,0.24,4.58
10,3,9,3,0.15,1.47
10,3,9,4,0.16,1.88
10,3,9,5,0.12,2.39
10,3,9,6,0.22,2.95
10,3,9,7,0.19,3.43
10,3,9,8,0.13,3.8
10,3,9,9,0.19,4.58
10,3,9,10,0.2,4.92
10,3,10,3,0.1,1.72
10,3,10,4,0.11,2.2
10,3,10,5,0.11,2.92
10,3,10,6,0.13,3.25
10,3,10,7,0.13,4.03
10,3,10,8,0.14,4.35
10,3,10,9,0.13,4.88
10,3,10,10,0.15,5.46
10,4,7,3,0.16,1.19
10,4,7,4,0.15,1.61
10,4,7,5,0.12,2.14
10,4,7,6,0.18,2.35
10,4,7,7,0.21,2.61
10,4,7,8,0.29,3.14
10,4,7,9,0.28,3.49
10,4,7,10,0.25,4.3
10,4,8,3,0.11,1.35
10,4,8,4,0.11,1.94
10,4,8,5,0.17,2.31
10,4,8,6,0.19,2.57
10,4,8,7,0.19,2.94
10,4,8,8,0.2,3.57
10,4,8,9,0.24,4.03
10,4,8,10,0.24,4.33
10,4,9,3,0.11,1.51
10,4,9,4,0.13,1.94
10,4,9,5,0.12,2.54
10,4,9,6,0.17,3.0
10,4,9,7,0.19,3.39
10,4,9,8,0.2,4.06
10,4,9,9,0.21,4.57
10,4,9,10,0.18,5.16
10,4,10,3,0.11,1.72
10,4,10,4,0.12,2.24
10,4,10,5,0.12,2.78
10,4,10,6,0.13,3.29
10,4,10,7,0.13,3.76
10,4,10,8,0.14,4.36
10,4,10,9,0.14,4.94
10,4,10,10,0.15,5.46
10,5,6,3,0.11,1.11
10,5,6,4,0.17,1.38
10,5,6,5,0.22,1.63
10,5,6,6,0.23,2.13
10,5,6,7,0.28,2.37
10,5,6,8,0.31,2.98
10,5,6,9,0.38,2.99
10,5,6,10,0.29,3.29
10,5,7,3,0.11,1.29
10,5,7,4,0.17,1.58
10,5,7,5,0.16,1.89
10,5,7,6,0.13,2.32
10,5,7,7,0.24,2.74
10,5,7,8,0.27,3.16
10,5,7,9,0.28,3.35
10,5,7,10,0.31,3.88
10,5,8,3,0.11,1.41
10,5,8,4,0.12,1.77
10,5,8,5,0.12,2.27
10,5,8,6,0.18,2.95
10,5,8,7,0.13,3.11
10,5,8,8,0.24,3.52
10,5,8,9,0.25,4.13
10,5,8,10,0.25,4.22
10,5,9,3,0.11,1.49
10,5,9,4,0.12,2.01
10,5,9,5,0.12,2.44
10,5,9,6,0.18,2.99
10,5,9,7,0.18,3.53
10,5,9,8,0.2,4.01
10,5,9,9,0.15,4.34
10,5,9,10,0.2,4.81
10,5,10,3,0.11,1.59
10,5,10,4,0.11,2.0
10,5,10,5,0.12,2.78
10,5,10,6,0.13,3.3
10,5,10,7,0.13,3.82
10,5,10,8,0.14,4.33
10,5,10,9,0.15,4.84
10,5,10,10,0.16,5.43
10,6,6,3,0.11,1.02
10,6,6,4,0.17,1.4
10,6,6,5,0.23,1.76
10,6,6,6,0.23,2.16
10,6,6,7,0.36,2.24
10,6,6,8,0.18,2.56
10,6,6,9,0.31,3.23
10,6,6,10,0.3,3.26
10,6,7,3,0.11,1.17
10,6,7,4,0.16,1.56
10,6,7,5,0.17,2.05
10,6,7,6,0.18,2.31
10,6,7,7,0.24,2.63
10,6,7,8,0.19,2.92
10,6,7,9,0.3,3.43
10,6,7,10,0.31,3.98
10,6,8,3,0.17,1.33
10,6,8,4,0.17,1.79
10,6,8,5,0.18,2.19
10,6,8,6,0.17,2.71
10,6,8,7,0.25,3.21
10,6,8,8,0.19,3.87
10,6,8,9,0.18,3.96
10,6,8,10,0.26,4.36
10,6,9,3,0.16,1.49
10,6,9,4,0.16,1.99
10,6,9,5,0.17,2.48
10,6,9,6,0.19,3.02
10,6,9,7,0.19,3.48
10,6,9,8,0.18,3.85
10,6,9,9,0.14,4.39
10,6,9,10,0.2,4.81
10,6,10,3,0.11,1.77
10,6,10,4,0.12,2.26
10,6,10,5,0.13,2.91
10,6,10,6,0.14,3.28
10,6,10,7,0.14,3.94
10,6,10,8,0.15,4.47
10,6,10,9,0.15,4.78
10,6,10,10,0.15,5.56
10,7,6,3,0.2,1.07
10,7,6,4,0.16,1.45
10,7,6,5,0.18,1.68
10,7,6,6,0.17,2.26
10,7,6,7,0.24,2.4
10,7,6,8,0.3,2.76
10,7,6,9,0.3,3.01
10,7,6,10,0.38,3.31
10,7,7,3,0.16,1.21
10,7,7,4,0.2,1.74
10,7,7,5,0.18,1.92
10,7,7,6,0.25,2.3
10,7,7,7,0.25,2.71
10,7,7,8,0.25,3.12
10,7,7,9,0.32,3.52
10,7,7,10,0.33,3.71
10,7,8,3,0.16,1.52
10,7,8,4,0.17,1.77
10,7,8,5,0.25,2.2
10,7,8,6,0.14,2.81
10,7,8,7,0.23,3.1
10,7,8,8,0.19,3.52
10,7,8,9,0.25,3.77
10,7,8,10,0.53,4.52
10,7,9,3,0.11,1.47
10,7,9,4,0.18,2.05
10,7,9,5,0.18,2.55
10,7,9,6,0.18,2.97
10,7,9,7,0.2,3.6
10,7,9,8,0.14,4.11
10,7,9,9,0.21,4.68
10,7,9,10,0.21,4.76
10,7,10,3,0.11,5.98
10,7,10,4,0.12,2.23
10,7,10,5,0.12,2.93
10,7,10,6,0.14,3.21
10,7,10,7,0.15,3.88
10,7,10,8,0.15,4.48
10,7,10,9,0.15,4.91
10,7,10,10,0.15,5.49
10,8,6,3,0.17,1.07
10,8,6,4,0.12,1.35
10,8,6,5,0.24,1.72
10,8,6,6,0.19,1.99
10,8,6,7,0.25,2.49
10,8,6,8,0.37,2.71
10,8,6,9,0.37,2.96
