nodes,NR,NW,clients,read_s,write_s
7,2,6,10,0.11,0.13
7,2,7,1,0.09,0.12
7,2,7,2,0.09,0.12
7,2,7,3,0.1,0.12
7,2,7,4,0.1,0.12
7,2,7,5,0.1,0.13
7,2,7,6,0.1,0.13
7,2,7,7,0.1,0.13
7,2,7,8,0.1,0.14
7,2,7,9,0.11,0.14
7,2,7,10,0.11,0.14
7,3,5,1,0.09,0.11
7,3,5,2,0.09,0.11
7,3,5,3,0.1,0.11
7,3,5,4,0.1,0.11
7,3,5,5,0.1,0.12
7,3,5,6,0.1,0.12
7,3,5,7,0.1,0.12
7,3,5,8,0.1,0.12
7,3,5,9,0.11,0.13
7,3,5,10,0.11,0.13
7,3,6,1,0.09,0.12
7,3,6,2,0.09,0.11
7,3,6,3,0.1,0.12
7,3,6,4,0.1,0.12
7,3,6,5,0.1,0.13
7,3,6,6,0.11,0.12
7,3,6,7,0.11,0.13
7,3,6,8,0.11,0.13
7,3,6,9,0.11,0.13
7,3,6,10,0.1,0.14
7,3,7,1,0.09,0.12
7,3,7,2,0.09,0.12
7,3,7,3,0.1,0.13
7,3,7,4,0.1,0.13
7,3,7,5,0.1,0.14
7,3,7,6,0.1,0.13
7,3,7,7,0.11,0.13
7,3,7,8,0.11,0.14
7,3,7,9,0.11,0.14
7,3,7,10,0.11,0.15
7,4,4,1,0.09,0.11
7,4,4,2,0.09,0.11
7,4,4,3,0.1,0.11
7,4,4,4,0.1,0.11
7,4,4,5,0.11,0.12
7,4,4,6,0.11,0.12
7,4,4,7,0.11,0.12
7,4,4,8,0.12,0.12
7,4,4,9,0.11,0.13
7,4,4,10,0.11,0.13
7,4,5,1,0.1,0.12
7,4,5,2,0.09,0.11
7,4,5,3,0.1,0.11
7,4,5,4,0.1,0.12
7,4,5,5,0.1,0.12
7,4,5,6,0.11,0.12
7,4,5,7,0.11,0.13
7,4,5,8,0.12,0.14
7,4,5,9,0.11,0.14
7,4,5,10,0.11,0.15
7,4,6,1,0.09,0.12
7,4,6,2,0.09,0.12
7,4,6,3,0.1,0.12
7,4,6,4,0.1,0.12
7,4,6,5,0.1,0.12
7,4,6,6,0.1,0.13
7,4,6,7,0.11,0.13
7,4,6,8,0.11,0.13
7,4,6,9,0.12,0.14
7,4,6,10,0.11,0.14
7,4,7,1,0.09,0.12
7,4,7,2,0.1,0.12
7,4,7,3,0.1,0.12
7,4,7,4,0.1,0.13
7,4,7,5,0.1,0.13
7,4,7,6,0.1,0.13
7,4,7,7,0.11,0.14
7,4,7,8,0.11,0.13
7,4,7,9,0.11,0.14
7,4,7,10,0.11,0.14
7,5,4,1,0.09,0.11
7,5,4,2,0.09,0.11
7,5,4,3,0.1,0.11
7,5,4,4,0.1,0.11
7,5,4,5,0.11,0.11
7,5,4,6,0.11,0.12
7,5,4,7,0.12,0.12
7,5,4,8,0.11,0.13
7,5,4,9,0.12,0.13
7,5,4,10,0.12,0.18
7,5,5,1,0.09,0.12
7,5,5,2,0.1,0.11
7,5,5,3,0.1,0.11
7,5,5,4,0.11,0.13
7,5,5,5,0.11,0.12
7,5,5,6,0.11,0.14
7,5,5,7,0.11,0.12
7,5,5,8,0.11,0.13
7,5,5,9,0.14,0.15
7,5,5,10,0.11,0.15
7,5,6,1,0.09,0.12
7,5,6,2,0.1,0.12
7,5,6,3,0.1,0.14
7,5,6,4,0.11,0.12
7,5,6,5,0.11,0.15
7,5,6,6,0.11,0.17
7,5,6,7,0.11,0.15
7,5,6,8,0.12,0.15
7,5,6,9,0.12,0.15
7,5,6,10,0.14,0.17
7,5,7,1,0.09,0.12
7,5,7,2,0.1,0.12
7,5,7,3,0.1,0.13
7,5,7,4,0.1,0.16
7,5,7,5,0.1,0.12
7,5,7,6,0.11,0.14
7,5,7,7,0.11,0.14
7,5,7,8,0.14,0.16
7,5,7,9,0.11,0.19
7,5,7,10,0.11,0.14
7,6,4,1,0.09,0.11
7,6,4,2,0.1,0.11
7,6,4,3,0.1,0.11
7,6,4,4,0.12,0.14
7,6,4,5,0.11,0.11
7,6,4,6,0.13,0.14
7,6,4,7,0.11,0.14
7,6,4,8,0.13,0.15
7,6,4,9,0.12,0.12
7,6,4,10,0.13,0.17
7,6,5,1,0.09,0.11
7,6,5,2,0.1,0.12
